,medicine_unigram,medicine_bigram
file240,232.67223565604812,0.30470191961687393
file241,341.546388533478,0.06334428013535388
file242,723.8150586466327,2.3528715370634354
file243,826.7639693844426,3.086645192479016
file244,431.53882168206286,0.09666976695203892
file245,355.1902926722421,0.07252605630425066
file246,444.58595678574255,0.27765902147971355
file247,607.0441006101709,0.09076491573621301
file248,418.98842993507503,0.06261312321277557
file249,352.24264343297966,0.05625261636628157
file250,426.6889535754179,1.0216558533073319
file251,458.41683728712036,0.025351393445204536
file252,770.3852326978226,0.07480096026246455
file253,601.150391086007,1.5596302381656744
file254,294.33525620538256,0.0752462165527132
file255,281.29639277205223,0.03861155346679378
file256,456.5269017179215,0.16706681515373759
file257,369.8659729409228,0.08798658792749464
file258,413.1844377860712,0.1822804711860708
file259,481.61110703072063,0.06987098397538073
file260,442.33299337698145,0.20319570072771512
file261,620.7701065794423,0.20750205678082284
file262,467.5438951692069,0.668367292012969
file263,421.6298819188518,0.267068894882485
file264,397.3270803635496,0.085456846835371
file265,451.9615521654748,0.22490654854829642
file266,466.699686902265,0.08885274158996516
file267,323.35308924548775,0.04819744573042174
file268,331.0142983549506,0.05694753896390369
file269,434.2092172807969,1.0870481047762321
file270,419.2207124724024,0.20202109507675645
file271,342.8332817356736,0.18987300804856827
file272,384.52836819966353,0.0841067701299648
file273,500.49850406001286,0.1015666667095026
file274,243.1127801871046,0.7516861802305853
file275,362.07536597897206,0.22327429286979136
file276,294.60065668934357,0.10449743301119797
file277,302.7191649745781,0.022989539118159173
file278,301.5086516528122,0.06653453594759542
file279,656.539883082895,0.6332081694929169
file280,371.0625742648435,0.06805866957666923
file281,451.94309957658515,0.19263218187125422
file282,381.00197882639293,0.1427208215824783
file283,133.62399782276563,0.020371072470139667
file284,204.08571195028233,0.0401974176925902
file285,444.4631676422063,0.18210908003595003
file286,218.2971293534146,0.14571156171210087
file287,487.77276119794493,0.12284502213734269
file288,893.9495471400104,2.301571287813678
file289,389.6344228390479,0.11887040502916645
file290,259.72086350952844,0.23824500027155213
file291,508.8227563213988,1.299938739256015
file292,379.26299433369496,0.24277184398959334
file293,454.77237915824577,0.2635850329435932
file294,520.2600547182742,0.22727253027775376
file295,397.6488867500911,0.08237104925739554
file296,538.682743579935,0.15751847566168764
file297,386.52734823590566,0.31861575993981345
file298,570.384748104661,0.14762138590066445
file299,216.74949942326822,0.23338101907207637
,medicine_unigram,medicine_bigram
file240,232.67223565604812,0.0020913539785517407
file241,341.546388533478,0.0013212884470621316
file242,723.8150586466327,0.000633712324569398
file243,826.7639693844426,0.0006353094062139743
file244,431.53882168206286,0.001074781998144696
file245,355.1902926722421,0.0012693346488297011
file246,444.58595678574255,0.001006324172603435
file247,607.0441006101709,0.0009237056273787592
file248,418.98842993507503,0.0011886923227055056
file249,352.24264343297966,0.0013978708928552627
file250,426.6889535754179,0.00107933621634739
file251,458.41683728712036,0.0009685643337374113
file252,770.3852326978226,0.0007922276821746503
file253,601.150391086007,0.0015385442653719186
file254,294.33525620538256,0.0015466206666568854
file255,281.29639277205223,0.0014998642356398942
file256,456.5269017179215,0.0009800349313174533
file257,369.8659729409228,0.0012854932485378955
file258,413.1844377860712,0.0010632551236500602
file259,481.61110703072063,0.0008359364272136061
file260,442.33299337698145,0.0010486252953870565
file261,620.7701065794423,0.00078280481687471
file262,467.5438951692069,0.0010080530594408282
file263,421.6298819188518,0.0010298698704241964
file264,397.3270803635496,0.0013305928637856845
file265,451.9615521654748,0.0010819370907268237
file266,466.699686902265,0.0009444691109359252
file267,323.35308924548775,0.0013865220876653683
file268,331.0142983549506,0.001472800355874628
file269,434.2092172807969,0.0010099439718656773
file270,419.2207124724024,0.001012983827586877
file271,342.8332817356736,0.0013509914750631953
file272,384.52836819966353,0.0014704039603822168
file273,500.49850406001286,0.0009118749921125268
file274,243.1127801871046,0.001724101732511543
file275,362.07536597897206,0.0014915463587519833
file276,294.60065668934357,0.0016926127598956848
file277,302.7191649745781,0.00138873481538121
file278,301.5086516528122,0.0014600564950088986
file279,656.539883082895,0.0007093481533936978
file280,371.0625742648435,0.0011179493701233675
file281,451.94309957658515,0.0009490845190492769
file282,381.00197882639293,0.0011803777854978259
file283,133.62399782276563,0.0038137351514522023
file284,204.08571195028233,0.002322229287175564
file285,444.4631676422063,0.0011065509627886491
file286,218.2971293534146,0.001971976194302302
file287,487.77276119794493,0.0009842597422367464
file288,893.9495471400104,0.000563025659191711
file289,389.6344228390479,0.00112492472553205
file290,259.72086350952844,0.0016610689657853177
file291,508.8227563213988,0.0008830998870548319
file292,379.26299433369496,0.0011953089788203613
file293,454.77237915824577,0.0009756347783524411
file294,520.2600547182742,0.0009084612603244408
file295,397.6488867500911,0.0013057939392061495
file296,538.682743579935,0.0008126790748352915
file297,386.52734823590566,0.0011010756949957727
file298,570.384748104661,0.0007963599567655118
file299,216.74949942326822,0.0028389657210264783
,medicine_unigram,medicine_bigram
file240,232.67223565604812,0.0020913539785517407
file241,341.546388533478,0.0013212884470621316
file242,723.8150586466327,0.000633712324569398
file243,826.7639693844426,0.0006353094062139743
file244,431.53882168206286,0.001074781998144696
file245,355.1902926722421,0.0012693346488297011
file246,444.58595678574255,0.001006324172603435
file247,607.0441006101709,0.0009237056273787592
file248,418.98842993507503,0.0011886923227055056
file249,352.24264343297966,0.0013978708928552627
file250,426.6889535754179,0.00107933621634739
file251,458.41683728712036,0.0009685643337374113
file252,770.3852326978226,0.0007922276821746503
file253,601.150391086007,0.0015385442653719186
file254,294.33525620538256,0.0015466206666568854
file255,281.29639277205223,0.0014998642356398942
file256,456.5269017179215,0.0009800349313174533
file257,369.8659729409228,0.0012854932485378955
file258,413.1844377860712,0.0010632551236500602
file259,481.61110703072063,0.0008359364272136061
file260,442.33299337698145,0.0010486252953870565
file261,620.7701065794423,0.00078280481687471
file262,467.5438951692069,0.0010080530594408282
file263,421.6298819188518,0.0010298698704241964
file264,397.3270803635496,0.0013305928637856845
file265,451.9615521654748,0.0010819370907268237
file266,466.699686902265,0.0009444691109359252
file267,323.35308924548775,0.0013865220876653683
file268,331.0142983549506,0.001472800355874628
file269,434.2092172807969,0.0010099439718656773
file270,419.2207124724024,0.001012983827586877
file271,342.8332817356736,0.0013509914750631953
file272,384.52836819966353,0.0014704039603822168
file273,500.49850406001286,0.0009118749921125268
file274,243.1127801871046,0.001724101732511543
file275,362.07536597897206,0.0014915463587519833
file276,294.60065668934357,0.0016926127598956848
file277,302.7191649745781,0.00138873481538121
file278,301.5086516528122,0.0014600564950088986
file279,656.539883082895,0.0007093481533936978
file280,371.0625742648435,0.0011179493701233675
file281,451.94309957658515,0.0009490845190492769
file282,381.00197882639293,0.0011803777854978259
file283,133.62399782276563,0.0038137351514522023
file284,204.08571195028233,0.002322229287175564
file285,444.4631676422063,0.0011065509627886491
file286,218.2971293534146,0.001971976194302302
file287,487.77276119794493,0.0009842597422367464
file288,893.9495471400104,0.000563025659191711
file289,389.6344228390479,0.00112492472553205
file290,259.72086350952844,0.0016610689657853177
file291,508.8227563213988,0.0008830998870548319
file292,379.26299433369496,0.0011953089788203613
file293,454.77237915824577,0.0009756347783524411
file294,520.2600547182742,0.0009084612603244408
file295,397.6488867500911,0.0013057939392061495
file296,538.682743579935,0.0008126790748352915
file297,386.52734823590566,0.0011010756949957727
file298,570.384748104661,0.0007963599567655118
file299,216.74949942326822,0.0028389657210264783
