,motorcycles_unigram,motorcycles_bigram
file240,875.171955372813,0.0005188943250847843
file241,409.1249267531794,0.0010406271091195631
file242,307.3931079362823,0.00114721364208102
file243,417.06983760506296,0.0008913515503532044
file244,278.7857180317348,0.0013744380917063064
file245,285.9311375893861,0.0016041842030521426
file246,422.60807006777674,0.000910363486258679
file247,223.69791468167026,0.0016972610108460056
file248,410.4448761003118,0.0009225519097294672
file249,426.60870792045773,0.0009460457389631689
file250,232.28407025992504,0.0018478032341355892
file251,390.2214176355187,0.0009455060360839437
file252,626.601426994204,0.000633340319700506
file253,303.90705504335,0.0012478178809740975
file254,323.97094056421975,0.0012553163428688087
file255,344.3645601137221,0.0011070575359849381
file256,257.3840078057399,0.0014372637127309446
file257,278.53557874539644,0.001319650547407978
file258,395.16803999888816,0.0010845611191600648
file259,309.41451350132354,0.0012132741924223203
file260,459.58180118634857,0.0008338820314032259
file261,513.0885471112763,0.00073971245471857
file262,232.3708104300438,0.00163788371012648
file263,522.3825040460155,0.0007657624196179333
file264,470.3396768080156,0.0007368936962202391
file265,372.0417114411025,0.0010563842542675576
file266,566.4001281464424,0.000744185164889233
file267,468.6041784593677,0.0007932461755863421
file268,331.3713239956788,0.0011201070847466023
file269,258.386025483935,0.0017031925745258796
file270,340.7228451045526,0.0012643071736818205
file271,438.4617194902071,0.0009172041478337899
file272,395.9088169360923,0.000992597906736106
file273,358.86567242467305,0.0012576106946054814
file274,260.5961859167335,0.0016211074011266884
file275,487.78894531027663,0.0009935286325122943
file276,340.8971889859921,0.001133294955046195
file277,523.7439305168144,0.0008299531740933108
file278,328.00754266570954,0.001163195619615886
file279,409.214441908535,0.0009375457506234445
file280,579.1800490773645,0.0007226921287558986
file281,426.1681261418556,0.0009006515992719617
file282,398.1460504079451,0.0009572365313187224
file283,515.8045319975926,0.0007928370995202851
file284,353.5840742566864,0.0012540108854109694
file285,559.5129516539262,0.0007089414287672605
file286,564.4214318909269,0.0007147854349976399
file287,338.16484655185815,0.001081662568807606
file288,478.7464021833231,0.0008132548195744336
file289,407.6584745129153,0.0010818634263108156
file290,286.78599666222885,0.0013422785421278712
file291,95.17289198880933,0.004264823196106842
file292,422.9292834968421,0.0008815072131770565
file293,304.2711155574796,0.0014471906158708416
file294,297.28998184159633,0.0012420662190889237
file295,483.01614897358155,0.0007790062300999134
file296,327.40205333044787,0.001160374923432661
file297,503.0055677427259,0.000876087921700207
file298,439.74677920919396,0.0008797190508531793
file299,288.0945187343693,0.0012554748395903169
,motorcycles_unigram,motorcycles_bigram
file240,875.171955372813,0.0005188943250847843
file241,409.1249267531794,0.0010406271091195631
file242,307.3931079362823,0.00114721364208102
file243,417.06983760506296,0.0008913515503532044
file244,278.7857180317348,0.0013744380917063064
file245,285.9311375893861,0.0016041842030521426
file246,422.60807006777674,0.000910363486258679
file247,223.69791468167026,0.0016972610108460056
file248,410.4448761003118,0.0009225519097294672
file249,426.60870792045773,0.0009460457389631689
file250,232.28407025992504,0.0018478032341355892
file251,390.2214176355187,0.0009455060360839437
file252,626.601426994204,0.000633340319700506
file253,303.90705504335,0.0012478178809740975
file254,323.97094056421975,0.0012553163428688087
file255,344.3645601137221,0.0011070575359849381
file256,257.3840078057399,0.0014372637127309446
file257,278.53557874539644,0.001319650547407978
file258,395.16803999888816,0.0010845611191600648
file259,309.41451350132354,0.0012132741924223203
file260,459.58180118634857,0.0008338820314032259
file261,513.0885471112763,0.00073971245471857
file262,232.3708104300438,0.00163788371012648
file263,522.3825040460155,0.0007657624196179333
file264,470.3396768080156,0.0007368936962202391
file265,372.0417114411025,0.0010563842542675576
file266,566.4001281464424,0.000744185164889233
file267,468.6041784593677,0.0007932461755863421
file268,331.3713239956788,0.0011201070847466023
file269,258.386025483935,0.0017031925745258796
file270,340.7228451045526,0.0012643071736818205
file271,438.4617194902071,0.0009172041478337899
file272,395.9088169360923,0.000992597906736106
file273,358.86567242467305,0.0012576106946054814
file274,260.5961859167335,0.0016211074011266884
file275,487.78894531027663,0.0009935286325122943
file276,340.8971889859921,0.001133294955046195
file277,523.7439305168144,0.0008299531740933108
file278,328.00754266570954,0.001163195619615886
file279,409.214441908535,0.0009375457506234445
file280,579.1800490773645,0.0007226921287558986
file281,426.1681261418556,0.0009006515992719617
file282,398.1460504079451,0.0009572365313187224
file283,515.8045319975926,0.0007928370995202851
file284,353.5840742566864,0.0012540108854109694
file285,559.5129516539262,0.0007089414287672605
file286,564.4214318909269,0.0007147854349976399
file287,338.16484655185815,0.001081662568807606
file288,478.7464021833231,0.0008132548195744336
file289,407.6584745129153,0.0010818634263108156
file290,286.78599666222885,0.0013422785421278712
file291,95.17289198880933,0.004264823196106842
file292,422.9292834968421,0.0008815072131770565
file293,304.2711155574796,0.0014471906158708416
file294,297.28998184159633,0.0012420662190889237
file295,483.01614897358155,0.0007790062300999134
file296,327.40205333044787,0.001160374923432661
file297,503.0055677427259,0.000876087921700207
file298,439.74677920919396,0.0008797190508531793
file299,288.0945187343693,0.0012554748395903169
