,space_unigram,space_bigram
file240,431.9553828203073,0.5143088992745248
file241,487.9499432113747,0.3381193220969112
file242,474.62852166461613,0.06333748835322474
file243,382.2344927128773,0.023954728346637647
file243,17.54657446642071,0.017906482002300838
file243,328.9237196929261,0.044666572492728915
file244,684.0642079741676,0.4633516349275552
file245,533.8381262504956,0.08442966378412745
file246,410.2558014343422,0.40168184810858437
file247,286.92478238925867,0.09048189742410973
file248,464.22392208154645,0.07151434288009219
file249,762.4499989696195,0.25862694871170583
file250,755.9457812611436,0.16845041107189165
file251,434.37208655376475,0.12186345526056874
file252,479.0671010366385,0.28029069058694983
file253,454.56615252266806,0.08145293166480336
file254,490.60060836304586,0.4142279650574679
file255,482.6510469255711,0.3341734739895051
file256,608.7575610604658,2.371922526565047
file257,459.2714004157906,0.49864627759590624
file257,17.54657446642071,0.017906482002300838
file257,604.3653133971003,0.8419117426115736
file258,489.31576712805713,0.24180336311847825
file259,539.0568316634074,0.19156048631706754
file260,482.7015046782505,0.36621957058415866
file261,400.24423713256914,0.20135239815718411
file262,781.1583396191232,3.0196758035381164
file263,929.2643687039607,0.1531457414619466
file264,482.15599978097197,0.09196837689843265
file265,713.5918709439649,0.2512030229117794
file266,634.1012591003923,1.4003708347476063
file267,1069.5326792168391,0.36065653930849195
file268,672.4474691056672,0.9265302652548231
file269,455.635297539742,0.14801955693505806
file270,486.29574853291234,0.28694842318148445
file271,532.8722926620012,0.19595075699923256
file272,428.9211602522084,0.7367045220246046
file273,501.6404244083454,0.14118638269138978
file274,628.6023960975576,0.10713280708534302
file275,506.3155734079042,1.0435394280867627
file276,355.1311784052591,0.22527603304711877
file277,566.8257145326107,2.415054083522482
file278,267.27347067363183,0.04597654849737973
file279,570.6425166842672,0.693974866057863
file280,703.8948673326208,0.4650154423824076
file281,537.1088698901139,0.16785575100923628
file282,343.7708224381747,0.17275007965801673
file283,422.7847071692809,0.06775819883399424
file284,355.64869655460296,0.07866662373872077
file285,356.34036220212136,0.34194280180449416
file286,896.8649693673971,1.122584404408046
file287,487.98747496610724,0.2763548362290463
file288,362.6002283876645,0.044024619407296836
file289,625.3503696101642,2.8410457505909146
file290,738.3458148200738,3.063044861563426
file291,588.5687805018549,2.0012617263714376
file292,545.9141587991519,0.09605078918075839
file293,645.6812520733881,3.2397040267385564
file294,597.2769863852408,0.11664802447692191
file295,418.5495264416424,0.08861911018012061
file296,419.72162846927336,0.10158786889808502
file296,17.54657446642071,0.017906482002300838
file296,124.37841072794686,0.1262791426959485
file297,282.4707801891974,0.045353497676599235
file298,585.3405448502905,0.4131679185128302
file299,426.0212570779861,0.2513134808296261
,space_unigram,space_bigram
file240,431.9553828203073,0.001090336614284006
file241,487.9499432113747,0.0010253393634944506
file242,474.62852166461613,0.0009724340908251192
file243,382.2344927128773,0.0010277297418187586
file243,17.54657446642071,0.017906482002300838
file243,328.9237196929261,0.0013717310176482068
file244,684.0642079741676,0.0007378326788006106
file245,533.8381262504956,0.0007990129018821191
file246,410.2558014343422,0.00107899536815752
file247,286.92478238925867,0.0016482897109492802
file248,464.22392208154645,0.001111962158189736
file249,762.4499989696195,0.0006202014151302868
file250,755.9457812611436,0.0006905851639448879
file251,434.37208655376475,0.000959887390506307
file252,479.0671010366385,0.0009633956841440864
file253,454.56615252266806,0.0009329315693271698
file254,490.60060836304586,0.0009252166734999822
file255,482.6510469255711,0.000934010463836339
file256,608.7575610604658,0.0007806972069412504
file257,459.2714004157906,0.0009943263823859747
file257,17.54657446642071,0.017906482002300838
file257,604.3653133971003,0.0008179650271378352
file258,489.31576712805713,0.0010113592408522777
file259,539.0568316634074,0.0008616088785675811
file260,482.7015046782505,0.0008882106512898559
file261,400.24423713256914,0.0011779817954038299
file262,781.1583396191232,0.0006914940437285934
file263,929.2643687039607,0.0006213028720471736
file264,482.15599978097197,0.0008868456382150245
file265,713.5918709439649,0.0006349758763105367
file266,634.1012591003923,0.0008326575911110461
file267,1069.5326792168391,0.0006811424265190215
file268,672.4474691056672,0.0008051214486145693
