,atheism_unigram,atheism_bigram,atheism_interpolation
file_0,238.44920164981392,0.04760428740997204,0.05419480962416753
file_1,214.68508609288887,0.04356017438320018,0.048838436047044784
file_10,206.0210982061755,0.06306868340004729,0.07403851350244556
file_100,173.8245522082789,0.030422281708869518,0.03420496196422102
file_101,328.3125030409305,0.05565241553958753,0.061901606684270714
file_102,249.33394712545174,0.12017342264226517,0.13453943938874838
file_103,286.165642504076,0.031248674092435785,0.03635541355172925
file_104,633.4627296498362,0.18164327208259798,0.20042225949259726
file_105,561.8179114554133,0.4630218912082716,0.5183856131760378
file_106,279.50233774101247,0.13212948211856004,0.1503498932716376
file_107,200.86907525758798,0.07884256051477709,0.0885744704577545
file_108,307.4703051456137,0.09374082175393846,0.10366255886945142
file_109,559.6895442471796,0.8293957892418111,0.8497396224813735
file_11,269.151841532594,0.04079794387051687,0.045945534432975485
file_110,183.53944094513608,0.0487140121959386,0.056203015762843894
file_111,182.56253411655075,0.04383385379696289,0.05006774481903187
file_112,188.1477936568712,0.07997520671477316,0.08860988734140787
file_113,868.2902139109524,0.5050764480551784,0.5355502006811125
file_114,308.0466845664552,0.050841050391292684,0.05718957516982391
file_115,153.00832322541655,0.03531499385662268,0.04149271508874831
file_116,258.00096702693554,0.04496235867800972,0.049572665834305606
file_117,238.23839662831017,0.036260278038864724,0.04057530362946143
file_118,183.41202757504513,0.10780033135657605,0.11776865313002352
file_119,230.6055484737958,0.05931198904007027,0.062366552683555065
file_12,322.48253408370005,0.1788908581316302,0.18991518116166178
file_120,1071.1990438563828,1.6781108666182278,1.7488690088769756
file_121,447.528110486515,0.13740605926562194,0.15267175381048123
file_122,193.2174837919848,0.0953727322848746,0.10576235891003753
file_123,247.14617580320035,0.11528240688740951,0.13018007095725612
file_124,376.6751533418446,0.0770030105365933,0.08638264157719504
file_125,384.1124011905626,0.057089500863813904,0.0645753123232384
file_126,345.413330391703,0.14245792613737054,0.15455079454408288
file_127,184.01321169622418,0.038136987811834916,0.041777547474499674
file_128,350.9011955875083,0.06919592030732576,0.07610820517949772
file_129,244.90824521461354,0.053070110143239695,0.06076422838686263
file_13,312.60111124237324,0.28306709142319536,0.27714536185256194
file_130,307.15347422376146,0.11226586605411742,0.12634894196421484
file_131,231.33659194796059,0.04518793667682985,0.051330454078226805
file_132,172.15038093527988,0.05760619446344397,0.06682712477008217
file_133,205.54688269831635,0.042437007681997374,0.049505725311288405
file_134,243.87010135081715,0.02459931082535026,0.02885095787102841
file_135,487.0778245153164,0.017376430707054046,0.020674698787034235
file_136,182.61549741978928,0.024943774647127548,0.02869403577344745
file_137,237.7872632101916,0.06824109059521175,0.07798852892268074
file_138,213.13748084165755,0.08424867836881535,0.09860025089460948
file_139,359.9413223955714,0.03922113197716083,0.04458790925169807
file_14,254.8145531142741,0.050869112077781095,0.057776255548077415
file_140,417.08846458701515,0.22731579470914395,0.24249088233640678
file_141,304.2185052500877,0.15940059497558262,0.1755446475690979
file_142,226.19885564449146,0.07654897148599908,0.0885005238349693
file_143,296.87808972222507,0.07461908960172998,0.08071113096886458
file_144,256.38968418295065,0.04822284301380434,0.05373403211374364
file_145,384.99171691498697,0.03721632788936898,0.04231722290354436
file_146,251.32723630296536,0.1233592244169656,0.13557938191822694
file_147,388.5251746175901,0.307926299700121,0.31508681864328253
file_148,254.64900748002253,0.09701679022562476,0.1051803813351113
file_149,251.08083419731972,0.09385636242343219,0.10776738249095255
file_15,396.8290718532956,0.08803461208140179,0.09615828108297976
file_150,232.9018439675328,0.011317000818259473,0.013714894162961606
file_151,344.9113629618181,0.0839839739893489,0.09638993818876396
file_152,171.14407801764244,0.03661492090072104,0.04245457967639854
file_153,485.4477370656942,0.33513627033853527,0.3677443431569312
file_154,416.1856857846016,0.20482651867816973,0.220079637637097
file_155,692.0426005690183,6.522584642082466,6.8344574208563715
file_156,242.1615743175549,0.0537385551417409,0.06212053903837495
file_157,211.16875463412015,0.016597593066161997,0.020379127254131078
file_158,342.89245576121795,0.02499957948397775,0.02746513200137531
file_159,329.968533119708,0.06304742463041835,0.068835305812871
file_16,532.235259444686,4.664460603992721,4.634592400731328
file_160,233.31949899791186,0.6555636955641624,0.6912114030059331
file_161,453.9553226812331,0.04259772578877811,0.049840489359809344
file_162,338.78034567221545,0.24420999505851532,0.277040117750008
file_163,175.1627906645131,0.030451225042067574,0.03594237378956184
file_164,317.43471713403216,0.08307472260468035,0.09574814282136225
file_165,173.67333667324095,0.1206334110754894,0.14642517451907355
file_166,243.35610976124556,0.0697165016286149,0.07953354312442745
file_167,559.2261025395013,0.2719326936641375,0.29311239915331455
file_168,466.2859088335101,0.4321757308271672,0.4570789393872707
file_169,237.26061035866508,0.05034758125680038,0.05736385482630513
file_17,278.82085942281157,0.14028134991982538,0.15152966714748056
file_170,425.9294404180533,0.1669987051864121,0.17888939312643293
file_171,556.1993258974803,0.2603943685454188,0.29236390910060217
file_172,587.391776905793,0.20946710386222672,0.23462401674558608
file_173,457.46480343860543,0.2816124819773918,0.301392788825961
file_174,256.1291475571847,0.05375351399606094,0.061802759182961055
file_175,265.2950932747883,0.0383229263925566,0.04454870741539322
file_176,378.06582585935644,0.02713940640960573,0.03186636194929402
file_177,234.7124722016423,0.061986300618656016,0.0680660184880154
file_178,369.47384395264487,0.16146439207407975,0.1735334968501623
file_179,342.45928021714616,0.19185517208472536,0.2103342315216901
file_18,237.76678224725737,0.07583213174647573,0.08924114809906457
file_180,175.21877890125694,0.030880479746217448,0.03478626081790698
file_181,280.6462703535753,0.009770883180186197,0.011819899496235247
file_182,391.47227211821235,0.11232067821286142,0.12302338912640703
file_183,492.826561550334,0.3448033710904495,0.36276327623872034
file_184,273.435705897018,0.03927515249021047,0.045081692589524214
file_185,307.64477073821206,0.07422394130487335,0.0829108089845117
file_186,434.3459744652822,1.4028249706715448,1.534514953574985
file_187,338.60266715500745,0.09087966152999871,0.09939384516136043
file_188,424.78752658307053,0.04742714492731166,0.05474268589706862
file_189,448.15860759799966,1.3139064762999992,1.4072445350244458
file_19,250.07712381940638,0.09371471204892266,0.10294945286917039
file_190,508.9326805447469,3.194757609335182,3.452508263434274
file_191,404.841561709465,0.0623121412864602,0.0689202637374732
file_192,336.26174454038437,0.10255397709509928,0.1125709547156705
file_193,263.63101816790385,0.09818391153781274,0.1130710898697186
file_194,384.8280644060051,0.06192218060623923,0.06766547380966137
file_195,217.05817116534024,0.04091502200106877,0.04960104655156447
file_196,515.7350486015356,0.08142834071153678,0.08736045042980123
file_197,236.77971178968522,0.04808776557796026,0.055180243491843466
file_198,261.18721273172173,0.022957915350956246,0.027235893409703265
file_199,271.88643523470904,0.10197064464504363,0.10908876266961329
file_2,166.50192352059082,0.06032156502900051,0.07025992143786368
file_20,214.03255436505594,0.054481003889999435,0.06107739875681373
file_200,332.15938560511444,0.1174079163915502,0.13237295934164467
file_201,223.47234967905118,0.050135219357621656,0.05754174288625002
file_202,213.0197635052124,0.06872895670974483,0.08015221616808438
file_203,300.77334081219504,0.05383918799869025,0.06031588050464192
file_204,235.55357266155522,0.0793659004709672,0.08962614328691079
file_205,253.72124012836557,0.03977132826722099,0.04471636288388203
file_206,181.24544112006103,0.2663915377516885,0.28863184025361655
file_207,426.2453740570258,0.06511045191949331,0.07354176297407511
file_208,301.94721249799244,0.027041652695765254,0.03218512383721546
file_209,391.3629854190445,0.2900954303067191,0.31074308647516885
file_21,220.2187503690314,0.07372900068864512,0.08005847975905868
file_210,488.038575493619,0.42739778354454594,0.4461012296628149
file_211,199.13784710496157,0.06598728549504286,0.07440698739607686
file_212,243.07005779884594,0.016220857920750033,0.01932958146742037
file_213,290.6198597985185,0.03645972765528042,0.041318748972737976
file_214,175.578848671183,0.022685204685333908,0.026220047154208753
file_215,537.1540228063718,0.3251955600272684,0.34413879925830504
file_216,457.89674494385264,0.03328853140834927,0.03827171872530551
file_217,392.96148298736455,0.07181187499398724,0.08111640753943736
file_218,528.8915751279015,2.107538463472613,2.163557884059934
file_219,499.8923889562221,0.5631351557688279,0.5985449274523057
file_22,214.42162887263535,0.014558686213582655,0.01689733373237466
file_220,174.51383429004628,0.029328517934861735,0.03246407617244726
file_221,349.67325576522876,0.15508885137186257,0.16780354287154484
file_222,277.85225088369856,0.051482873013375396,0.06155346835058506
file_223,210.52371858430703,0.015493892303354557,0.018220845638469447
file_224,424.11749399856296,0.241736728320383,0.2591254201428046
file_225,468.6282400533563,0.9392763903318527,0.9960829733023457
file_226,426.4122202485801,0.26089670994309044,0.28463450208681346
file_227,344.40184099120836,0.11736150580792389,0.12806953814297092
file_228,143.0302003306591,0.022566923077646232,0.0266152396204235
file_229,359.8813123952988,0.07607859174112581,0.08421837310848257
file_23,362.27834626758005,0.0835207176573994,0.09296351424229057
file_230,381.764029152292,0.10567226059238502,0.11147917631216647
file_231,228.35361057958005,0.09904672263977371,0.11514319871833477
file_232,578.3861981125796,9.166331272532483,9.215350358619899
file_233,225.67022679133373,0.0719980096464507,0.07828807057566628
file_234,450.5853216073126,0.5828346264475984,0.6220049809424447
file_235,463.86176921214997,0.4304487151808975,0.463390609151891
file_236,266.7579784325636,0.2188712201200471,0.2373763153469524
file_237,485.2103624031303,0.11874520589226777,0.13143638068096913
file_238,220.9318280977071,0.06907855630264324,0.07567713220655163
file_239,195.3492410509545,0.08819793901473551,0.10119610233418244
file_24,147.44830137146386,0.05857832023375386,0.06550886627226571
file_240,225.12426250909402,0.03594690058929779,0.04052970096530844
file_241,325.3861789704201,0.1686717707035608,0.18088124316900656
file_242,271.8822237185119,0.0675169953361064,0.0752095665836466
file_243,351.6702744858729,0.03963663844291968,0.04487328530044859
file_244,267.315852944974,0.07091278326224199,0.08062077889657138
file_245,209.40558523745898,0.07521450983191202,0.08655827572160753
file_246,276.92132528125006,0.04830391937194418,0.05316518591331008
file_247,269.9776440288196,0.08753362737062467,0.09668682383014941
file_248,209.3234570410061,0.09533468362435461,0.10899551946766213
file_249,294.07233140760025,0.13669722752220076,0.14442729850525707
file_25,238.86279819965006,0.023706093705843895,0.026513585615684572
file_26,391.56178551193057,0.18875116373764556,0.20457113646249622
file_27,334.9678358222086,0.048555454783783265,0.05447234710580569
file_28,210.27757063449135,0.21990144719492863,0.24453228213012504
file_29,484.85133329858434,0.048384837923996296,0.053503875863826135
file_3,221.879837619385,0.033525114017973735,0.038346301516588126
file_30,195.74609662025742,0.02679523433755224,0.030553635588247936
file_31,219.06737822435193,0.055200968221376615,0.06411923603009201
file_32,287.8624411916268,0.04834141048191523,0.05463452562315502
file_33,500.15174155471175,0.6568275818748233,0.6721794197602518
file_34,521.5932139841599,1.3139312074264593,1.3001289347185545
file_35,485.64639580952553,0.9163832283980207,0.929801073712377
file_36,239.53177384804675,0.04646399107297218,0.055543743101638815
file_37,376.57237797742744,0.02346838446238524,0.026603595168467345
file_38,540.0587915764938,0.24677535766635678,0.2669777764267067
file_39,468.9525377638437,0.12228559436155655,0.13460205262151964
file_4,278.4945377328346,0.07743408288146934,0.0853279848796867
file_40,263.9647132397344,0.09343781999163141,0.10448819272584318
file_41,360.3866617291946,0.05409531708581116,0.05908380014864859
file_42,362.82412448100513,0.0576192461546447,0.06317802522249769
file_43,209.85653618585116,0.04100967550179563,0.045022755578444984
file_44,482.88949796268895,0.49840870226488926,0.5449854576177054
file_45,443.1734080405302,0.12693874502960578,0.13616601319421998
file_46,527.2356303334063,0.17186337691599823,0.19123551636710104
file_47,232.6138458529057,0.17015021156405238,0.1863914984557591
file_48,532.1073376877666,0.2465916966508214,0.25676530825510313
file_49,261.1737626355619,0.09438988149703298,0.10719967607563746
