,autos_unigram,autos_bigram,autos_interpolation
file_0,291.57212621877983,0.0660119087037076,0.07497602146343944
file_1,149.7362499079538,0.05654335304225613,0.06370771740143687
file_10,455.3321597562377,1.0493825204072813,1.1557732134677159
file_100,179.71289942285793,0.06655808317564083,0.07557853526159473
file_101,259.1377084910542,0.04880759405627873,0.05550857671128394
file_102,303.623516038377,0.1616948534880128,0.1838598572765513
file_103,277.0759707496452,0.048157096714375715,0.05706779366580596
file_104,185.88627932491252,0.038582292307787557,0.045344899058148515
file_105,237.3508841102101,0.03582664558046414,0.04041391911937975
file_106,198.80619505744866,0.07585772840006627,0.0903461394958058
file_107,134.92156641355092,0.08360895610392383,0.09607567007034912
file_108,428.4904724451253,0.10409328219624193,0.11676278660580104
file_109,239.2004049203229,0.06676609562216969,0.07678980299599042
file_11,230.25427116610538,0.03926549798411389,0.045101975388080834
file_110,186.577674688573,0.09175239414796715,0.1035737423701306
file_111,155.35045878268303,0.03685445387765518,0.043163384395867296
file_112,192.24451647243387,0.08934698857745252,0.09868195946837649
file_113,346.6281479332886,0.04038714221089895,0.04648913207760709
file_114,223.24005477427596,0.04666490639516513,0.05396240105347711
file_115,224.65824696353272,0.045175821957726806,0.05173959168277868
file_116,422.06709463505797,0.08404427809694709,0.09382791237288277
file_117,191.75685162211488,0.027604413738681697,0.03160510528479806
file_118,164.42552448937803,0.1535524671614137,0.17125213670300854
file_119,271.95898479723826,0.12573807505385046,0.13448743879980768
file_12,280.1736614707562,0.1148988804160041,0.12730803011433497
file_120,223.70253772869842,0.029243163133186607,0.03382924775677314
file_121,385.6822129856977,0.07835448965857003,0.08854739437985103
file_122,162.98801125225611,0.09778516209333955,0.10957338350509994
file_123,327.01320159513403,0.07579950009334481,0.08694750470826017
file_124,286.97747592347616,0.1507184584411295,0.17091632352329184
file_125,255.1784692634019,0.055610668145384665,0.06396324433859318
file_126,169.26310891421494,0.07320188555941975,0.08449766803786783
file_127,145.9061754089307,0.028271819009528083,0.03193604233361563
file_128,479.2783034108772,0.12741883266604836,0.14301854571844136
file_129,220.84467913249497,0.05669111006090182,0.06522678653081211
file_13,224.06699879882476,0.0793150510350919,0.08422038239309988
file_130,211.26303456793903,0.17186214370686922,0.19696034521421105
file_131,316.72088585056554,0.18490055416665976,0.207904527008337
file_132,612.3364438771841,0.3885661444168311,0.4511381791158675
file_133,259.4919113357159,0.03582564450479093,0.041804947149326394
file_134,113.65210528317023,0.05335558037735184,0.06378834618908909
file_135,470.67525320562595,0.04912360152733491,0.05734273849063675
file_136,164.9699625944881,0.025225250734420432,0.02950420147053418
file_137,242.48030752096872,0.06864349320530348,0.07906189128392953
file_138,202.72289876468764,0.06440045906060937,0.07603419784996017
file_139,272.63295869532794,0.08459767322386962,0.09808454699350855
file_14,175.759767997862,0.053806247620477504,0.06198440420035203
file_140,375.64227719774334,0.12712680648339095,0.1415821815125169
file_141,285.5499014460121,0.12361053250536554,0.13908348858463274
file_142,258.9421462928904,0.09732540560991317,0.11416747177686012
file_143,296.06896292428013,0.0514824799005337,0.05867442622335518
file_144,230.31191266240128,0.03748943595414972,0.042972805296890564
file_145,246.28299033047077,0.039028891413224034,0.04453085200338054
file_146,298.2597652388526,0.07544839363146688,0.09004786182646794
file_147,172.50847705515181,0.13773862384687965,0.15173411122741784
file_148,493.15749260855614,0.9958484657796948,1.061872956955285
file_149,229.79222744810778,0.052705310525697706,0.06181433125753304
file_15,601.1699133333669,2.1419351018817734,2.3222741810835204
file_150,100.49814971613003,0.021433762790079785,0.026238781937051703
file_151,283.8192863792989,0.0891865502769905,0.10163294236869623
file_152,170.44341027276366,0.04040315859972233,0.04701578077646975
file_153,281.09659032665854,0.03067555203660536,0.034264978366527685
file_154,251.3759061717906,0.05506809029642114,0.062228317893426664
file_155,261.41480911972735,0.09531357397800994,0.10761456911097718
file_156,251.09084308808912,0.06713862174198373,0.07723697190884246
file_157,140.42574263315242,0.039972997187471764,0.047824617685855456
file_158,322.1177422449171,0.028625987988568535,0.032960133568017164
file_159,198.65391500843913,0.09313254702881851,0.10372904642132456
file_16,161.23860800040498,0.06130050610606036,0.07063452003031226
file_160,177.19961347569944,0.29326533402884525,0.3239506254924199
file_161,178.29547452500753,0.012046104122944734,0.014738844973464015
file_162,195.5789137106535,0.0823192849332987,0.09332548348987277
file_163,130.24821203617248,0.060502188993420455,0.07147514188294717
file_164,269.01904464000324,0.06083775351510217,0.07120899121024571
file_165,177.04922173076577,0.136247179441387,0.16372825841886554
file_166,198.20894829055612,0.08611150425701487,0.09813909642288675
file_167,241.3319545779587,0.05784553495716741,0.06709839863591135
file_168,284.79232373226336,0.07392826468979773,0.08351147414597085
file_169,237.99620105556272,0.03750117758658023,0.04314327584876817
file_17,217.06644747429831,0.08045998362605508,0.09152325082848493
file_170,366.38476468386676,0.06533083768870734,0.07150941180388075
file_171,293.38896532908757,0.04246279206746729,0.04795977842422099
file_172,237.6417808922365,0.05172605066404086,0.06047094263417088
file_173,238.78268802992076,0.07977848055195072,0.08706696678212851
file_174,288.6668697730366,0.08252758080008148,0.0939531309328467
file_175,237.25635214600345,0.19046778483564825,0.21356932018416935
file_176,391.9716817610584,0.11784324815659694,0.1386363253690703
file_177,265.4490938510531,0.08475731629554413,0.09555853843305001
file_178,275.23284776043687,0.0809347618595556,0.09239273295262772
file_179,208.8633328731087,0.06833336319882173,0.0783350219814736
file_18,283.2909539273561,0.0643058878482477,0.0779573073484384
file_180,328.60696680354204,0.06683948000932416,0.07428626620024989
file_181,198.7110235323869,0.016943643766454065,0.019497707637074754
file_182,318.1112372571648,0.1961109487438531,0.22186572257881
file_183,262.462006549527,0.06855536682658188,0.077377844554071
file_184,366.4295609456562,0.21112721587204453,0.24013452135093388
file_185,356.0640203769362,0.0521319295752269,0.0589581930536647
file_186,346.0431045468212,0.2500352286162333,0.2865788696643004
file_187,257.3876360485694,0.05552048052014617,0.06340938627805845
file_188,273.482845117326,0.05786953265703806,0.06815488892836244
file_189,233.56032229981938,0.1282536273688734,0.1477802035897379
file_19,234.40786547373054,0.08144919804130346,0.09231312685825889
file_190,306.91459582903275,0.1564639842985766,0.1786935745491539
file_191,290.53901391414513,0.06312120549249403,0.07233692995665594
file_192,326.86069628585517,0.09711409551140367,0.11053786281473328
file_193,474.6909402703329,0.771212425809855,0.8775203322824044
file_194,327.5458090480869,0.06371331241087,0.07189135515848494
file_195,342.87766054348174,0.03010993080127822,0.03609316449508107
file_196,357.71074686871987,0.17179127953640266,0.1863718633699552
file_197,230.58773825205137,0.043638106872361734,0.05161366931627471
file_198,158.5065875219276,0.05533530677406138,0.06594251970869132
file_199,473.29024015890604,0.08762538070915064,0.09749448058700347
file_2,217.2413847106486,0.1369223842049657,0.15678633131041514
file_20,242.2695035748774,0.1035679512203836,0.11723955481080318
file_200,249.2358967119731,0.1139547081550837,0.1309401255890758
file_201,167.57557867114116,0.055897210362575715,0.06418194750141158
file_202,213.99345685307134,0.07366339198207815,0.08627505667460733
file_203,473.9687662239757,0.08028057009030463,0.09053009275584745
file_204,247.00838528344377,0.053179337596620184,0.061401760018443816
file_205,287.756697347432,0.04971899021867212,0.05632408108809942
file_206,211.3319836754052,0.14480184779703595,0.16118979837997907
file_207,431.51688525738257,0.07914207686149237,0.09040368140024375
file_208,334.6793344271788,0.02314397387431125,0.027028527108892066
file_209,254.047937139588,0.13330547550300845,0.14856118377104632
file_21,184.3990784841761,0.086434207996181,0.10083424906348816
file_210,318.2843616688296,0.1124877847784058,0.12126076413184657
file_211,193.8173941543085,0.06468620867852484,0.0747849316969353
file_212,219.48885463017123,0.030553541753217263,0.036486462975457
file_213,234.57952464913785,0.05089938869075364,0.0590507173256403
file_214,188.37514012383943,0.03182745297847578,0.037289795648196906
file_215,303.6988723665497,0.05929285955833658,0.0669096581847352
file_216,384.1899295381601,0.03640192029965508,0.04207160410871061
file_217,666.7623782106547,0.6874776097886219,0.7690558446616272
file_218,210.87083980993955,0.06332090128588173,0.07249997373545652
file_219,257.3180548326604,0.06745712842195849,0.07828382852575544
file_22,151.85991726867258,0.017324054538931523,0.020416303947720645
file_220,590.7768496522112,0.6165037538602565,0.6326245449784657
file_221,275.5835841161163,0.07864266732367699,0.0886687730501042
file_222,196.6978607942668,0.05039255887560639,0.061102557426287764
file_223,355.89132312739304,0.08233873127790525,0.09643857802897089
file_224,267.80217736530454,0.07878017013206642,0.0882629226298404
file_225,279.03475631165315,0.07895123818074011,0.08981511363519304
file_226,292.8948798537857,0.08473561386902616,0.09079366895180345
file_227,250.7665577341183,0.05585038442041425,0.06392960462506511
file_228,196.91895927633766,0.01641397092294413,0.019363942322796066
file_229,458.1316128525634,0.7939319541704826,0.864235147322055
file_23,290.3171392270305,0.0886200560719412,0.10335658487327631
file_230,259.97973283116903,0.1416605576857784,0.1523457002432463
file_231,202.55696021419672,0.07984013290398888,0.09509590178608597
file_232,282.54404574569315,0.17822950524935993,0.19570946139252068
file_233,242.37810328570146,0.06835351716075845,0.0758496265427633
file_234,250.2174072115438,0.0742143544314142,0.08453129293968142
file_235,279.60267091789996,0.08820765797474127,0.10031258074636465
file_236,231.58870607999668,0.19406636384906725,0.21552308252241067
file_237,301.5845727188848,0.054998350557519254,0.06411613975290807
file_238,189.52805812278947,0.11706048771082742,0.1319048275374559
file_239,907.2634308787123,6.29143682588221,7.088645064144538
file_24,138.6689483814268,0.1129366292624476,0.13441944884404128
file_240,199.88851509601886,0.03416841136824506,0.03908172249055726
file_241,189.96395275029863,0.08284229478133365,0.0939113796814352
file_242,606.3589375386046,0.4926510140407432,0.551000211106113
file_243,347.3340926641615,0.032945198934985764,0.03786632490245622
file_244,387.72742715150326,0.19139806056257042,0.21761209077172033
file_245,248.25636212137255,0.06488549894436,0.07645542592592361
file_246,173.06405134918998,0.052640936813598375,0.0599549863499571
file_247,260.51462957114256,0.07027129036976508,0.08049547796599696
file_248,226.48354430045222,0.10776426968402127,0.12223560461085202
file_249,308.47471185721747,0.25275260005848843,0.2853218896296037
file_25,108.17986700933031,0.09143085537425691,0.10379425663236552
file_26,338.70975942921353,0.08006347633309345,0.09039761647707756
file_27,213.93371906448687,0.025538115113856598,0.03018060678902115
file_28,229.33713474510395,0.11446314940582221,0.12840465626033526
file_29,607.5799611620988,5.113866326180864,5.5811137556876815
