,medicine_unigram,medicine_bigram
file240,230.29848409037706,0.31366576228119414
file241,338.47206876782155,0.06406873931118263
file242,727.7975187518371,2.4179369081962196
file243,820.8155991201281,3.1851687742743984
file244,428.8562217521111,0.09534066906938493
file245,351.6793624596251,0.07286712084945306
file246,437.64828558507793,0.28201311802814
file247,597.1588555429414,0.09400841725407953
file248,413.3679905220957,0.06385417547054321
file249,348.65843262082007,0.055680216069610405
file250,414.56564611104824,1.0572404745005877
file251,460.22228215786663,0.024942748485958524
file252,792.2210943865515,0.07374848467282198
file253,627.3137638170937,1.5176183250275668
file254,292.6957326425393,0.07477097786025108
file255,278.74047576312176,0.038554141362310584
file256,455.44688604048343,0.1666305313117423
file257,364.8999904674821,0.08883024989607059
file258,409.27956154910055,0.18704976404265086
file259,479.10403458601667,0.06938331314274472
file260,432.34354761231015,0.21195905773083396
file261,625.7687168029254,0.21071184869258608
file262,465.08575791902433,0.6807129418444373
file263,417.7385848854585,0.2701071397200835
file264,391.4988982113589,0.08611499006282923
file265,445.5802073631627,0.22326621277578346
file266,467.34991661537225,0.08738335849789218
file267,322.3005889114759,0.04853878783567637
file268,323.2167627244026,0.05752205525576318
file269,431.2186052479406,1.1038787767541325
file270,416.795925847926,0.20562993975289062
file271,335.9360157239842,0.18949214580955448
file272,380.86074782755014,0.08415398573589403
file273,496.73538834200457,0.10323407889956948
file274,238.99181123241115,0.7567655648508249
file275,362.1848093308264,0.2325730798416628
file276,291.26350781598086,0.10513093883060996
file277,307.39428289932096,0.022308698005899193
file278,299.6955601799045,0.06707181931195713
file279,646.4170729442641,0.6460333718013932
file280,368.323957901221,0.06838920575403616
file281,437.6249658135513,0.19979106630210403
file282,375.9422918864877,0.1461771602343239
file283,132.95412525232817,0.01989023802314735
file284,202.1382537438117,0.04002007619262246
file285,448.3412611489952,0.18086103503236164
file286,215.1183898938325,0.14902762038612333
file287,483.04662500511455,0.12451121984869067
file288,908.924348288311,2.294434939950689
file289,384.7829167988306,0.12051617459834514
file290,257.69799477548867,0.24005510741568986
file291,502.08636686112266,1.3399721742195967
file292,381.57434574283917,0.2452851308775838
file293,452.1302011082964,0.26852137517939473
file294,513.925171047096,0.2321045854633986
file295,395.3115337682281,0.08419366676054289
file296,536.8121506795071,0.15951226583455028
file297,382.3273639712812,0.3249191254821044
file298,572.2563857222542,0.14537821297897202
file299,212.319732794332,0.2333867718896831
,medicine_unigram,medicine_bigram
file240,230.29848409037706,0.0020519730034040057
file241,338.47206876782155,0.0012939122748673382
file242,727.7975187518371,0.0006120675366741995
file243,820.8155991201281,0.0006211194342420853
file244,428.8562217521111,0.0010500331254441318
file245,351.6793624596251,0.0012439795395558948
file246,437.64828558507793,0.0009916673908390782
file247,597.1588555429414,0.000911292098926136
file248,413.3679905220957,0.0011690984523846394
file249,348.65843262082007,0.0013714894731563754
file250,414.56564611104824,0.0010768099122062445
file251,460.22228215786663,0.0009368164871075163
file252,792.2210943865515,0.0007518128624245179
file253,627.3137638170937,0.0014434144260470922
file254,292.6957326425393,0.0015100313583309593
file255,278.74047576312176,0.0014684745631012518
file256,455.44688604048343,0.0009534133752988702
file257,364.8999904674821,0.0012645813871272065
file258,409.27956154910055,0.0010414898729661688
file259,479.10403458601667,0.0008149602212005348
file260,432.34354761231015,0.0010403393747779207
file261,625.7687168029254,0.000757143738670354
file262,465.08575791902433,0.000983879638710971
file263,417.7385848854585,0.0010084772524057764
file264,391.4988982113589,0.001310332333323236
file265,445.5802073631627,0.0010646090302217986
file266,467.34991661537225,0.0009156164122901743
file267,322.3005889114759,0.0013502255448539892
file268,323.2167627244026,0.001462543826127598
file269,431.2186052479406,0.0009867587854903576
file270,416.795925847926,0.0009884630383881338
file271,335.9360157239842,0.0013372255938774846
file272,380.86074782755014,0.0014474970796110242
file273,496.73538834200457,0.0008917093889922769
file274,238.99181123241115,0.0017005359926340641
file275,362.1848093308264,0.0014615518417347086
file276,291.26350781598086,0.0016618107097744704
file277,307.39428289932096,0.001328276713771491
file278,299.6955601799045,0.0014256235942602623
file279,646.4170729442641,0.0006988192309666404
file280,368.323957901221,0.001093369186541491
file281,437.6249658135513,0.0009498940026403189
file282,375.9422918864877,0.0011605036859679949
file283,132.95412525232817,0.003723716560864415
file284,202.1382537438117,0.0022753524478676527
file285,448.3412611489952,0.0010661251406643528
file286,215.1183898938325,0.0019409344321990988
file287,483.04662500511455,0.0009644665957383426
file288,908.924348288311,0.0005380768449812791
file289,384.7829167988306,0.0011051066100071685
file290,257.69799477548867,0.0016243900340254707
file291,502.08636686112266,0.0008687869274227787
file292,381.57434574283917,0.001155407555280069
file293,452.1302011082964,0.0009522982542895868
file294,513.925171047096,0.0008923806432840139
file295,395.3115337682281,0.0012765862240047424
file296,536.8121506795071,0.0007913940174131191
file297,382.3273639712812,0.001079765034992572
file298,572.2563857222542,0.0007707394367195179
file299,212.319732794332,0.0028121312118984834
,medicine_unigram,medicine_bigram
file240,230.29848409037706,0.0020519730034040057
file241,338.47206876782155,0.0012939122748673382
file242,727.7975187518371,0.0006120675366741995
file243,820.8155991201281,0.0006211194342420853
file244,428.8562217521111,0.0010500331254441318
file245,351.6793624596251,0.0012439795395558948
file246,437.64828558507793,0.0009916673908390782
