,space_unigram,space_bigram
file240,426.3296508350426,0.5262822668702859
file241,485.4077524398506,0.34046955094500697
file242,473.32416275863534,0.06300253027233708
file243,375.1555626515373,0.02417237264948074
file243,16.928542970014696,0.017906482002300838
file243,330.5472471533335,0.04658354178482399
file244,691.8093219268231,0.4765867914754762
file245,531.80416851488,0.08546943480817136
file246,409.9189290691486,0.4093138309384322
file247,282.77287280128246,0.09050775126346915
file248,473.3623314922347,0.06975795144728478
file249,749.4743251762094,0.2649618543501936
file250,750.0546389333377,0.17213376323122764
file251,432.53229570235715,0.1201378044212399
file252,483.1166563859363,0.2803745041721953
file253,453.6486657913607,0.08254149518857566
file254,483.59334635663964,0.4221855271999206
file255,484.2867836096449,0.33147948210636086
file256,611.644185035979,2.4469754790930613
file257,464.09112652473647,0.5160663297663208
file257,16.928542970014696,0.017906482002300838
file257,601.6017345300853,0.8695651213904857
file258,477.91092876465177,0.24145818495863944
file259,534.8447731524918,0.1970825616259243
file260,477.68168831856735,0.38634257040554953
file261,402.1250364660382,0.20844252102657487
file262,782.7766768894991,3.2760106543620555
file263,956.8575067060299,0.15648153851273508
file264,477.57261206680903,0.09341941422555827
file265,720.19940405833,0.260966788084618
file266,626.1926623722064,1.4518782624806241
file267,1128.4406710128933,0.34388279085242013
file268,670.9851412155301,0.9443969756558099
file269,449.1162394217046,0.1515258062279584
file270,482.51467296290286,0.29781219336059445
file271,534.8657725144532,0.2025335707916383
file272,426.44164361679145,0.7390233047879303
file273,497.88532342930415,0.1423219209519646
file274,616.0772125847255,0.10906766634085664
file275,505.0417012087555,1.068132359936236
file276,351.5613128690683,0.22667467613211015
file277,552.5837826913555,2.532874456665391
file278,263.1627563384371,0.046280562026804924
file279,567.5190844598184,0.7047355808005711
file280,699.3721270976794,0.4853510452085551
file281,535.9266655916301,0.16567204183238002
file282,336.6215237183332,0.17563333731065506
file283,418.10730151507454,0.06748704010380198
file284,349.244392246444,0.08021127106670149
file285,354.8433993986862,0.3475312741860787
file286,917.337973041442,1.1302094641145237
file287,484.02790529344674,0.2791212176575543
file288,358.52376496895073,0.04378549650572912
file289,612.3778091986361,2.9292244045339526
file290,747.888563213752,3.052694861651773
file291,591.9142492290565,2.034296501183195
file292,533.7770862458937,0.09903367349312049
file293,650.7152952632885,3.406631195352948
file294,589.0188994206081,0.11714339646928057
file295,416.5725152298379,0.08824791861082679
file296,413.21866648819866,0.10436959470777303
file296,16.928542970014696,0.017906482002300838
