,medicine_unigram,medicine_bigram
file_0,251.7897175452106,0.07449223156568516
file_1,296.6884803112534,0.053210380855214665
file_10,138.30575173759522,0.0715623892827386
file_100,190.0565346115464,0.1020241573508694
file_101,301.0164769723679,0.06089741070896995
file_102,268.4642823830491,0.13607264819212467
file_103,282.20027270348703,0.04518480234903088
file_104,505.4431464110223,0.32780366517989007
file_105,293.934141689571,0.04288996371242835
file_106,450.75731423099796,0.2237960699139835
file_107,589.710054220992,4.014229591196286
file_108,281.18607867169504,0.08014708019169767
file_109,323.5386079636408,0.09965951431846629
file_11,308.25598341825446,0.043351318967003526
file_110,302.6168217017705,0.12565348266176185
file_111,187.62364250541478,0.042502268398991745
file_112,212.5638619332382,0.06470947686951511
file_113,358.01467463778863,0.04964990243579372
file_114,335.67921903356495,0.24320912737236638
file_115,150.08321890208944,0.053483946070686225
file_116,243.00173840924768,0.06816134415404056
file_117,273.3006218027235,0.06815564174618649
file_118,277.73654852430286,0.09955725360666677
file_119,389.16294437814435,0.12971579212187964
file_12,295.9669218676477,0.14256129280704377
file_120,639.186434396233,0.47635010513936893
file_121,493.99013664841823,0.07636843973316654
file_122,162.55157666312658,0.08959974761219384
file_123,283.32633919318533,0.07478947196330056
file_124,423.7765529303981,0.06561830268509204
file_125,673.1007112375144,0.07914257267664229
file_126,196.55634321559126,0.10283758911566104
file_127,206.52541861358668,0.03051417477176052
file_128,347.8313984298389,0.08571346872164105
file_129,284.06143821750584,0.05479838297650698
file_13,236.59098300858895,0.11274886238552906
file_130,270.7394826172446,0.14870068049717086
file_131,301.05354993382196,0.059880063626420205
file_132,273.95708996311396,0.046070539963393296
file_133,189.03618169653598,0.036635685277497276
file_134,149.44461142347544,0.02409502555669899
file_135,476.51786113408656,0.020439051583940958
file_136,225.575889194263,0.028962377832378938
file_137,363.38453097536484,0.09424117713693343
file_138,282.4236683166604,0.0768808056202154
file_139,346.41733004983655,0.08179997449177544
file_14,285.6458629910027,0.07834921419351991
file_140,437.90586555444,0.17412368141661885
file_141,278.403069398961,0.10677942018802895
file_142,257.16155377125494,0.09879640649633724
file_143,336.70966858310624,0.04710948127478492
file_144,356.6300946235826,0.049387550337543676
file_145,294.7336876269425,0.04337778988922286
file_146,460.40531876835763,1.1241614964199969
file_147,207.21913100062775,0.15100657055081068
file_148,284.04613666708616,0.12041179486958699
file_149,409.12424742132106,0.1041156005255192
file_15,343.7243812342904,0.04154090680902122
file_150,157.96176976811617,0.019992664826993176
file_151,187.8297011042434,0.05353156119356292
file_152,241.98168377831547,0.028490626108004836
file_153,268.4608134783308,0.036671673572162375
file_154,261.3049118803667,0.0730328688934052
file_155,278.2718798353457,0.09468532066228721
file_156,246.15437121360867,0.039031227645160566
file_157,209.3882658541335,0.029096576402297878
file_158,294.6374772890922,0.027655315250211022
file_159,300.6665283451713,0.06828934407030904
file_16,237.077145717608,0.08163566409542189
file_160,251.53697324246647,0.4152849260201741
file_161,213.82455041193248,0.0201951187807669
file_162,310.0043732832216,0.07560715334637116
file_163,175.40535648521222,0.04308692005453079
file_164,502.67692877985,0.1122398231869464
file_165,135.50939218295716,0.1273919952371579
file_166,285.76872694418245,0.08810672450565214
file_167,285.3483724324602,0.07794432939037306
file_168,357.40673950391766,0.09562286792232322
file_169,217.27820896129623,0.0511396413208637
file_17,279.24252724848236,0.0698503585782205
file_170,375.9365461099045,0.15909751033317715
file_171,284.57979159571687,0.05475138377449894
file_172,325.11023476729173,0.05264608350298326
file_173,271.0170348423816,0.09754331622274777
file_174,308.7495627560307,0.09106956110473108
file_175,433.552505782553,0.14973578654421943
file_176,404.71296398132625,0.04700598376407806
file_177,223.86949357236878,0.05551195047737687
file_178,330.6480881765939,0.08220355776675177
file_179,259.2594876524204,0.08583500932349951
file_18,206.11248665617677,0.17473382402690757
file_180,162.53744002638655,0.035431456673993736
file_181,242.20303494983287,0.02353896395841144
file_182,394.3791314901291,0.21792710244657024
file_183,357.8866273613003,0.08407879514866737
file_184,209.26667733917225,0.06614003314002709
file_185,321.2419865613883,0.06491810060428789
file_186,450.5160630777984,0.17251209931780703
file_187,335.3614847110484,0.08036190511102885
file_188,358.0686214021225,0.08310475250423743
file_189,299.93129531982095,0.1409122868629179
file_19,341.3805259629397,0.09771892032943663
file_190,445.1298850090639,0.14996665432372974
file_191,391.9978897335588,0.06162953885502311
file_192,682.3392190951057,0.35614543227780027
file_193,294.9168280652459,0.08887402217120405
file_194,356.6494259354367,0.056716329432668286
file_195,333.4313061124153,0.057200455487181
file_196,439.9695167034805,0.10613582946394642
file_197,214.32958218275516,0.047597094852826705
file_198,413.94773856385706,0.036553395669302484
file_199,271.14536528361936,0.1148412796472275
file_2,159.3934344558269,0.04841430059247602
file_20,173.1588577584371,0.08921335045270419
file_200,296.6932324212111,0.1825074553529031
file_201,594.3971876086501,0.3705433999109152
file_202,309.94812844030804,0.09254484268374678
file_203,301.26551486391793,0.07710845590295413
file_204,266.3674461513628,0.04769107005698276
file_205,266.95751819260903,0.05506915786619761
file_206,212.08996862114233,0.08862979812117888
file_207,447.74980126208345,0.04213083075217603
file_208,435.72496995045714,0.027150705948380465
file_209,335.1365970853574,0.13283103138053062
file_21,264.0727760053873,0.07181152083300799
file_210,427.3457563047123,0.12103021854721706
file_211,299.47718217651766,0.035679801939317336
file_212,407.58659113661173,0.04064285800754689
file_213,330.1749364991384,0.02539519194091823
file_214,212.7599225133045,0.027336601940886135
file_215,344.16876312942594,0.06396536303200083
file_216,711.8355280045888,0.04426495532308008
file_217,393.94842302396427,0.08641988592887247
file_218,314.11657951579537,0.08059472931536099
file_219,356.82667112597494,0.09961309305845355
file_22,225.31023917398667,0.016206435295422563
file_220,148.39020603938033,0.04715901160675377
file_221,303.09890689960235,0.1055620841233775
file_222,422.9289229673902,0.11586551017508885
file_223,251.341085682429,0.044650582411678595
file_224,317.55678808530536,0.11108957750335809
file_225,319.4480190930721,0.09581653582392612
file_226,324.11203290268503,0.0547504416035964
file_227,689.3901604309101,0.9124795944119313
file_228,188.91699645016794,0.021565416856672223
file_229,388.5491224079957,0.09500674212611904
file_23,340.3554989172622,0.09592602537873353
file_230,304.56697326485204,0.057753046603663254
file_231,243.45420059713314,0.10970536350221058
file_232,376.7967693784258,0.17835141237405627
file_233,356.18309655770446,0.07884711676952176
file_234,291.16025807751504,0.09638964522210836
file_235,338.2969679001526,0.07209701474798351
file_236,229.68484422610086,0.20436749510695887
file_237,488.0133891286359,0.06560293397654766
file_238,248.52553704776983,0.11545443799525217
file_239,140.94764069146933,0.12702262372132941
file_24,327.7283220865474,0.05779198941259144
