,medicine_unigram,medicine_bigram,medicine_interpolation
file_0,251.7897175452106,0.07449223156568516,0.08525796809277297
file_1,296.6884803112534,0.053210380855214665,0.05896995355182067
file_10,138.30575173759522,0.0715623892827386,0.08384819253269207
file_100,190.0565346115464,0.1020241573508694,0.11873305749644995
file_101,301.0164769723679,0.06089741070896995,0.06902818561731043
file_102,268.4642823830491,0.13607264819212467,0.15376308477994016
file_103,282.20027270348703,0.04518480234903088,0.051838687567435766
file_104,505.4431464110223,0.32780366517989007,0.37120401903971345
file_105,293.934141689571,0.04288996371242835,0.04886513765073628
file_106,450.75731423099796,0.2237960699139835,0.2528823103947221
file_107,589.710054220992,4.014229591196286,4.159037228947502
file_108,281.18607867169504,0.08014708019169767,0.09109832456897062
file_109,323.5386079636408,0.09965951431846629,0.11066040991644256
file_11,308.25598341825446,0.043351318967003526,0.04921758719705831
file_110,302.6168217017705,0.12565348266176185,0.14125031304720223
file_111,187.62364250541478,0.042502268398991745,0.04959317411924776
file_112,212.5638619332382,0.06470947686951511,0.07227427198823502
file_113,358.01467463778863,0.04964990243579372,0.05675959435470948
file_114,335.67921903356495,0.24320912737236638,0.2770997630056745
file_115,150.08321890208944,0.053483946070686225,0.06198536096292521
file_116,243.00173840924768,0.06816134415404056,0.07762932590941898
file_117,273.3006218027235,0.06815564174618649,0.07753440201897376
file_118,277.73654852430286,0.09955725360666677,0.11100007911564483
file_119,389.16294437814435,0.12971579212187964,0.13605916676046662
file_12,295.9669218676477,0.14256129280704377,0.15451567234786706
file_120,639.186434396233,0.47635010513936893,0.5322940920661199
file_121,493.99013664841823,0.07636843973316654,0.08536222805119861
file_122,162.55157666312658,0.08959974761219384,0.10206226061616112
file_123,283.32633919318533,0.07478947196330056,0.08525559450349068
file_124,423.7765529303981,0.06561830268509204,0.07501514491637083
file_125,673.1007112375144,0.07914257267664229,0.08855812049614391
file_126,196.55634321559126,0.10283758911566104,0.11599449372885492
file_127,206.52541861358668,0.03051417477176052,0.0339430389164954
file_128,347.8313984298389,0.08571346872164105,0.09558602178124831
file_129,284.06143821750584,0.05479838297650698,0.06215856015873878
file_13,236.59098300858895,0.11274886238552906,0.12358281466757005
file_130,270.7394826172446,0.14870068049717086,0.16848228143199342
file_131,301.05354993382196,0.059880063626420205,0.06822162932615598
file_132,273.95708996311396,0.046070539963393296,0.05301044325666607
file_133,189.03618169653598,0.036635685277497276,0.04265971970472144
file_134,149.44461142347544,0.02409502555669899,0.02899229324030641
file_135,476.51786113408656,0.020439051583940958,0.023906520105205848
file_136,225.575889194263,0.028962377832378938,0.0333154437756229
file_137,363.38453097536484,0.09424117713693343,0.10683375751481075
file_138,282.4236683166604,0.0768808056202154,0.08713157333232696
file_139,346.41733004983655,0.08179997449177544,0.09274348745383901
file_14,285.6458629910027,0.07834921419351991,0.08870128325183257
file_140,437.90586555444,0.17412368141661885,0.190831308283226
file_141,278.403069398961,0.10677942018802895,0.12028485260975118
file_142,257.16155377125494,0.09879640649633724,0.11542453491898903
file_143,336.70966858310624,0.04710948127478492,0.054017194454815565
file_144,356.6300946235826,0.049387550337543676,0.05511603770591866
file_145,294.7336876269425,0.04337778988922286,0.049826599767871876
file_146,460.40531876835763,1.1241614964199969,1.209352332688237
