,space_unigram,space_bigram
file_0,314.85219331725574,0.036077146035939874
file_1,203.90862892112744,0.08180338107968017
file_10,199.09275610741554,0.06382752852605754
file_100,180.50291022108684,0.09065215446541355
file_101,410.6296713278517,0.10542721082940429
file_102,316.15663361481734,0.09852290102625662
file_103,350.974374043511,0.024334191032695716
file_104,249.109954111226,0.03161802370453856
file_105,281.92483874556746,0.040815598306128145
file_106,299.2416006510016,0.0724265031518658
file_107,162.4341017998556,0.09144567895322299
file_108,274.62883414808937,0.09135936910253688
file_109,301.2522403939868,0.06485936818751917
file_11,342.9926895791983,0.04259368448189117
file_110,236.70699313612766,0.059983336219447916
file_111,200.48529761737078,0.04564183508650644
file_112,200.08885944403815,0.09251928234685673
file_113,527.581941290014,0.03384296435164669
file_114,289.24701171316724,0.040924114899985445
file_115,221.5544731143039,0.03676217311165794
file_116,260.760913678178,0.0526529664872526
file_117,206.9664040831674,0.021354129525762978
file_118,178.10114426070024,0.1296114051134437
file_119,265.5293078066893,0.09197881032964629
file_12,312.2973330712392,0.08789917579893784
file_120,279.2375536097656,0.025963115830457646
file_121,529.7356783550263,0.0695109088413209
file_122,431.0881258999685,3.177757137247864
file_123,260.13306702332426,0.07190283170562597
file_124,349.9457287524823,0.09872438874032931
file_125,405.0197196566912,0.04564220002523842
file_126,186.85435146113198,0.07601389976288936
file_127,591.9075108317469,1.5185369539764517
file_128,388.59673952442296,0.0483442271264013
file_129,341.5573905027542,0.043976881249828986
file_13,278.2190389152042,0.1393642550466283
file_130,643.7224856433372,2.8707167920322743
file_131,265.3639786997095,0.04992185468618905
file_132,194.7367461229566,0.05518119619509555
file_133,212.94378056284637,0.04501442832749641
file_134,133.17513719382046,0.023631050454760234
file_135,593.560821767185,0.013080979820239536
file_136,315.1192985417129,0.029504502804391104
file_137,317.71420564430764,0.06128746323224936
file_138,328.84068241397665,0.06634107745411613
file_139,429.5699212607813,0.05519652291707883
file_14,573.3769034946346,0.5323330785921548
file_140,419.8956994878955,0.18108325336058792
file_141,477.0878127260795,0.2309847153870893
file_142,341.39714201068426,0.1273308178868175
file_143,476.6207043808424,0.8958332450902766
file_144,334.4101773260053,0.05747335570682137
file_145,349.26876641371587,0.04523653549639232
file_146,326.3481657912428,0.027664196487654964
file_147,206.1887469217272,0.11542471298973153
file_148,320.5699641613622,0.09832216208715293
file_149,274.1063514783034,0.047561404625017914
file_15,362.2285994675988,0.07474535594748162
file_150,105.81260876163218,0.022652939441738157
file_151,194.62146025462226,0.04716425319218051
file_152,191.13279890215233,0.03886856186976015
file_153,248.06627242132672,0.045069473923069016
file_154,255.34320045207372,0.062450322494221465
file_155,458.3667555347887,0.07803010868964834
file_156,207.50435026233953,0.04579823565743898
file_157,242.9636231904354,0.055306818682974185
file_158,365.9016557347222,0.048219861788807925
file_159,390.87073941237344,0.13507463210929552
file_16,213.8513760157249,0.10274622313265304
file_160,344.3496969248296,0.6904398132227659
file_161,214.57880941761846,0.017301780997378304
file_162,318.4555375601809,0.07192154103147637
file_163,154.22546420252485,0.0720194724210281
file_164,354.2675729903369,0.06100096562039158
file_165,142.7945667541756,0.12736974934359988
file_166,308.30026807291097,0.05485620846282621
file_167,281.6860561533997,0.07599497894326326
file_168,356.3979358562705,0.08209861041249987
file_169,242.15340178244713,0.04914535942883777
file_17,286.255839148578,0.08873249783011217
file_170,494.7262325285178,0.19847763197582505
file_171,239.8812214462993,0.05628635448925668
file_172,293.3354115996745,0.07916302779489028
file_173,240.3565371469537,0.0828769686394519
file_174,246.62564089251612,0.07121306128958392
file_175,314.7213054715668,0.13209639916985955
file_176,503.53556215506694,0.03360983568330154
file_177,233.09103452458314,0.0427925377092556
file_178,464.0734754824641,0.12005171212078443
file_179,270.0415114189142,0.05609089585482577
file_18,322.2580309933259,0.11898143464221501
file_180,356.2902564596583,0.06930105960903643
file_181,389.7867691543075,1.106828257270356
file_182,497.71644316109274,0.18018567618360395
file_183,402.2205105992819,0.07966939244533996
file_184,227.64749866149972,0.0659818386555894
file_185,394.03021861267285,0.054568339206639234
file_186,687.5521122365215,5.535854907231461
file_187,531.7243985856305,0.11804120293583938
file_188,352.7924357938814,0.05035859750264996
file_189,311.32334972773094,0.08042355260744714
file_19,262.50883500052356,0.06774826897927456
file_190,436.6417062262951,0.12094447563534394
file_191,469.31482777175,0.13446448174925346
file_192,400.46863837398195,0.07949242465662412
file_193,341.4279247190542,0.07069073540947532
file_194,553.6696147942661,0.13314013326519622
file_195,414.83881456688107,0.051957419168445734
file_196,522.8304077017098,0.0530955828676633
file_197,491.5474077765716,0.34385095736168836
file_198,302.86539676993175,0.033435497145499926
file_199,320.8894409651808,0.07833748210283101
file_2,265.0924799634067,0.03927478004469404
file_20,169.0031214679517,0.04685980589020542
file_200,298.8759358984187,0.12326201987648243
file_201,203.02013901076802,0.0771277189957861
file_202,264.14887468718973,0.06854229024641448
file_203,291.58706598789536,0.06760324546565499
file_204,281.3561664086057,0.05837551635838522
file_205,272.6782204241423,0.06265296333321142
file_206,205.92995833397305,0.11356499458003631
file_207,553.3278902755693,0.04415094490809516
file_208,658.9768944304052,0.02220359553290336
file_209,316.0500382798604,0.1036434368603081
file_21,295.3761713870268,0.05913713027884057
file_210,384.02202483805263,0.1349218176623033
file_211,481.2182872673399,0.1925129215420019
file_212,276.2898590109625,0.031061983803576804
file_213,235.81880048015586,0.08315223646507466
file_214,221.81914782299697,0.030072152026669983
file_215,361.3127115061213,0.0668002050273825
file_216,649.9877301555327,0.033411214969329424
file_217,382.52416285786364,0.06515851959713787
file_218,286.00997364927593,0.08014357526779906
file_219,390.0737444404083,0.0812525181365473
file_22,482.53088137315416,0.022814900148250706
file_220,154.8936406285753,0.05850843909933359
file_221,325.84309015926306,0.0771100389088115
file_222,266.1925371389389,0.07761825563081443
file_223,461.8530910613103,0.02217932232290532
